Description,Actions,Objects
i keep the salmon warm and place on the dinner plate and then spoon the sauce on top,"keep, spoon","dinner, dinner plate, place, salmon, sauce, top"
i think this works better,"think, work",
boil the chicken stock and taco seasoning in a medium pot,boil,"chicken, chicken stock, medium pot, seasoning"
"once mixture comes to a boil add the rice , salsa , corn and beans (or peas if you prefer","add, come, prefer","beans, boil, corn, mixture, peas, rice, salsa"
turn heat to low and cover pot,"cover, turn","heat, low pot"
"allow to cook on low , undisturbed , for 20 minutes","allow, cook",minutes
"after 20 minutes are up , toss the rice a bit , and serve !","serve, toss","bit, minutes, rice"
wash potatoes and place in microwave to cook through and cut into pieces,"cook, cut, wash","microwave, pieces, place, potatoes"
"while potatoes are cooking , fry ground sirloin in a pan , drain","cook, sirloin","drain, pan, potatoes"
"add potatoes , chopped onion , soup , milk , sour cream , and salt and pepper to the hamburger and heat through","add, chop, heat","chopped onion, hamburger, milk, pepper, potatoes, salt, soup, sour cream"
"in 3 quart saucepan , over medium heat , saute onions and garlic in oil until tender",,"garlic, medium heat, oil, quart, quart saucepan, saute, saute onions, tender"
"cook until done , stirring occasionally to break up meat","break, cook, do, stir",meat
"stir in tomatoes , chicken broth , mustard , chili powder and pepper",stir,"chicken, chicken broth, chili powder, mustard, pepper, tomatoes"
stir in beans and corn,stir,"beans, corn"
"top with tortilla chips , shredded cheese and cilantro , if desired","desire, shred","cilantro, shredded cheese, top, tortilla, tortilla chips"
preheat oven to 350 degrees,preheat,degrees
"using a fork , mash the bananas in a bowl","mash, use","bananas, bowl, fork"
"stir in oats , applesauce , dried cherries , flax and vanilla extract","dry, stir","applesauce, dried cherries, extract, flax, oats, vanilla"
drop by rounded spoonfuls onto a lined cookie sheet,,"cookie, drop, lined cookie sheet, rounded spoonfuls"
heat oil in large non-stick skillet on medium-high heat,,"heat, heat oil, high heat, large non - stick skillet"
"add chicken , cover and cook 4 minutes on each side or until cooked through","add, cook, cover","chicken, minutes, side"
add soup and 1 soup can water to skillet,"add, skillet, water",soup
bring to boil and stir in rice and broccoli,"boil, bring, stir","broccoli, rice"
cover and cook on low heat 5 minutes,"cook, cover","low heat, minutes"
trim any fat from chicken breasts,trim,"chicken, chicken breasts, fat"
"in large heavy saucepan , heat oil over medium-high heat",,"heat, heat oil, high heat, large heavy saucepan"
cook chicken for about 5 minutes or until no longer pink inside,cook,"chicken, minutes"
"add onion , green pepper , chili powder , oregano , salt and pepper to pan","add, pan","chili, chili powder, green pepper, onion, pepper, salt"
"cook over medium heat , stirring often , for about 5 minutes or until vegetables are softened","cook, soften, stir","medium heat, minutes, vegetables"
"increase heat and boil , stirring often , for 10 minutes","increase, stir","boil, heat, minutes"
spray a deep skillet with nonstick cooking spray,spray,"cooking spray, deep skillet, nonstick, nonstick cooking"
preheat pan over high heat,preheat,"high heat, pan"
"cook chicken in hot skillet , stirring for 3-5 minutes , or until no longer pink","cook, stir","chicken, hot skillet, minutes"
"add tomatoes and their juice , low-sodium chili sauce , green pepper , celery , onion , garlic , basil , parsley , crushed red pepper , and salt","add, crush","basil, celery, chili, chili sauce, garlic, green pepper, juice, low sodium, onion, parsley, red pepper, salt, tomatoes"
"reduce heat and simmer , serve over hot cooked rice or whole wheat pasta","reduce, serve","cooked rice, heat, simmer, wheat, whole wheat pasta"
place chicken between two sheets of heavy-duty plastic wrap,,"duty plastic wrap, heavy duty, place chicken, plastic, sheets"
"flatten to 1 / 4-inch thickness , using a meat mallet or rolling pin","flatten, use","inch, inch thickness, meat, meat mallet, pin"
"dip chicken in egg , and dredge in breadcrumbs",dredge,"breadcrumbs, dip chicken, egg"
cook chicken in butter in a large skillet over medium-high heat until browned on both sides,"brown, cook","butter, chicken, high heat, large skillet, sides"
spoon spaghetti sauce over chicken,spoon,"chicken, spaghetti, spaghetti sauce"
"cover , reduce heat , and simmer 10 minutes","cover, reduce, simmer","heat, minutes"
sprinkle with cheeses and parsley,sprinkle,"cheeses, parsley"
cover and simmer 5 additional minutes or until cheeses melt,"cover, melt, simmer","additional minutes, cheeses"
heat a saucepan over medium to medium-high heat,heat,"medium high heat, saucepan"
add oil to cover the bottom of the pan scantily,"add, cover","bottom, oil, pan"
saut garlic and onions in hot oil until they begin to be done,"begin, do","hot oil, onions"
onions should be becoming clear and soft,become,onions
"add can of beans and its liquid , can of tomatoes and its liquid , and spices",add,"beans, can, liquid, spices, tomatoes"
cover and heat through until not quite boiling,"boil, cover, heat",
"while heating , break the eggs into a bowl and , with a fork , break the yolks and lightly beat until the yolks and eggs are thoroughly mixed","beat, break","bowl, eggs, fork, heating, yolks"
the eggs should be just slightly frothy,,eggs
"when chili is hot , remove from heat and reduce the heat to low","reduce, remove",heat
"while off the heat , slowly pour in eggs , stirring as you pour","pour, stir","eggs, heat"
"egg should cook instantly , giving the soup a creamy look and texture","cook, give","creamy look, egg, soup, texture"
"return to low heat and heat through , perhaps another 2-3 minutes","heat, return","low heat, minutes"
serve topped with any or all garnishes you choose,"choose, serve, top",garnishes
"or without , your choice",,choice
preheat oven to 400f grease a standard 12-muffin pan or line with paper cups,"grease, preheat","line, muffin, paper, paper cups, standard muffin pan"
"thoroughly mix the flour , baking powder , salt and huckleberries together in a large bowl","bake, mix","flour, huckleberries, large bowl, powder, salt"
"in another bowl , whisk together eggs , milk or cream , sugar , butter , and vanilla",whisk,"bowl, butter, cream, eggs, milk, sugar, vanilla"
add the wet ingredients to the dry and mix together with a few light strokes just until just blended,"add, blend, mix","few light strokes, wet ingredients"
the batter should not be smooth,,batter
divide the batter among the muffin cups,divide,"batter, muffin, muffin cups"
"bake for 15 minutes , or until a toothpick inserted in 1 or 2 of the muffins comes out clean","come, insert","bake, minutes, muffins, toothpick"
"let cool for a few minutes , and serve warm","let, serve",few minutes
brown chops in skillet in oil,,"brown chops, oil, skillet"
"combine tomato , soup , water and seasonings and add to browned chops","add, brown, combine","browned chops, seasonings, soup, tomato, water"
"cover and simmer about 15 minutes , or until chops are done","cover, do, simmer","chops, minutes"
stir in butter or margarine prior to serving,"serve, stir","butter, margarine"
serve over noodles or rice,serve,"noodles, rice"
flatten chicken to even thickness using palm of hand or meat mallet,"flatten, thickness, use","chicken, hand, meat, meat mallet, palm"
"dip chicken in egg , then coat with crumbs",coat,"crumbs, dip chicken, egg"
"in 10-inch skillet over medium heat , heat margarine and cook chicken until brown on both sides",cook,"chicken, heat, heat margarine, inch, inch skillet, medium heat, sides"
"reduce heat to low and cover , simmer for 10 minutes","cover, reduce, simmer","heat, minutes"
sprinkle with cheeses and parsley,sprinkle,"cheeses, parsley"
cover and allow to simmer 5 more minutes or until cheese melts,"allow, cover, simmer","cheese, cheese melts, minutes"
mix cracker crumbs and 1 / 4 cup of sugar,mix,"cracker, cracker crumbs, cup, sugar"
stir in butter and cinnamon until crumbs are moist,stir,"butter, cinnamon, crumbs"
pat evenly onto bottom and sides of 8-inch springform pan,,"bottom, inch, inch springform, sides"
bake 10 minutes and remove from oven,remove,minutes
reduce oven heat to 275,reduce,oven heat
cream remaining 3 / 4 cup sugar with softened cream cheese,"remain, soften","cream, cup, cup sugar, softened cream cheese"
add remaining ingredients in order listed,"add, list, remain","order, remaining ingredients"
"pour into crust and bake 1 1 / 2 hours , or until cake is set","bake, pour, set","cake, crust, hours"
remove from oven and cool until sides pull away from springform pan,"pull, remove",sides
"unmold and chill in refrigerator , covered loosely , until 30 minutes before serving","cover, serve","chill, minutes, refrigerator"
"in a food processor , add the almond milk followed by frozen bananas and two tablespoons of the crunchy peanut butter","add, follow","almond milk, crunchy peanut butter, food, food processor, frozen bananas, peanut, tablespoons"
add remaining 3 tablespoons peanut butter and pulse once or twice to incorporate,"add, incorporate, remain","peanut, pulse, remaining tablespoons peanut butter, tablespoons"
transfer ice cream to a loaf pan and cover with plastic wrap,"cover, pan, transfer","ice, loaf, plastic wrap, transfer ice cream"
"freeze until hardened , at least 8 hours , or overnight","freeze, harden",hours
"alternatively , for a soft-serve consistency , serve immediately",serve,"serve consistency, soft serve"
mixed berry: omit peanut butter and add 2 cups mixed frozen berries,"add, mix","cups, mixed berry, mixed frozen berries, omit, omit peanut butter, peanut"
strawberry: omit peanut butter and add 1 1 / 2 cups frozen strawberries at the initial blending,"add, freeze","cups, frozen strawberries, initial blending, omit, omit peanut butter, peanut, strawberry"
"when smooth , 1 cup chopped frozen strawberries at the end , pulsing just until incorporated","chop, incorporate, pulse","end, frozen strawberries, smooth cup"
chocolate mint: omit peanut butter and add 2-3 drops mint extract at the initial blending,"add, drop","chocolate, drops mint extract, initial blending, mint, omit, omit peanut butter, peanut"
"when smooth , add a few drops of green food coloring to reach desired color , blending until color is well-distributed","add, blend, color, desire, distribute","color, few drops, green food"
"add 3 1 / 2 ounces roughly chopped semi-sweet chocolate , pulsing just until incorporated","add, chop, incorporate, pulse","ounces, semi - sweet chocolate"
nutella: omit peanut butter and add 5 tablespoons nutella at initial blending,add,"initial blending, omit, omit peanut butter, peanut, tablespoons, tablespoons nutella"
